,a,al,am,b,c
174,0.030300446649912494,0.03,0.09,0.030299795629470116,0.03076899427802542
175,0.03971124660906278,0.04,0.09,0.0396952969840085,0.04052125496470275
176,0.05045163969396149,0.05,0.09,0.05042804272353858,0.051768817634981
177,0.060437055715220955,0.06,0.09,0.06040491128476208,0.06234046473073103
178,0.07055909536595473,0.07,0.09,0.07052249591010244,0.07317205142752882
179,0.0788697783757728,0.08,0.09,0.07879000071127085,0.08215386116442441
180,0.08958628207382435,0.09,0.09,0.08951595450394201,0.09385614770274889
181,0.09931541457017667,0.1,0.09,0.09920746366712992,0.10460015432820163
182,0.19767984427550955,0.2,0.09,0.19745604490001906,0.22024755410945895
183,0.2991750104539931,0.30000000000000004,0.09,0.2984116929401555,0.35549708139695385
184,0.398627655330129,0.4,0.09,0.39701352671873275,0.5085409944037851
185,0.497826398081781,0.5,0.09,0.49619210861094787,0.6888093985183324
186,0.6006259695441025,0.6000000000000001,0.09,0.5975257133103667,0.9178568815067496
187,0.7016287812385876,0.7000000000000001,0.09,0.6986119555944041,1.2094168671762546
188,0.8021794913320743,0.8,0.09,0.7988896315714064,1.620395181306214
189,0.9004727639158554,0.9,0.09,0.8948921232411596,2.307323942785781
190,0.0,0.0,0.1,0.0,0.0
191,0.00985796380911208,0.01,0.1,0.0098554307182465,0.009906875244579973
192,0.02041829338481027,0.02,0.1,0.02041760594463954,0.020629628419866423
193,0.02948269828948058,0.03,0.1,0.029479963872223288,0.02992604890651149
194,0.04049073837172934,0.04,0.1,0.04047981503968546,0.04133331102414608
195,0.04935307863269789,0.05,0.1,0.04933242525059984,0.0506125562820018
196,0.0598823858576899,0.06,0.1,0.05983230289283754,0.061750290117131026
197,0.07071396044048273,0.07,0.1,0.07066412959295497,0.07333868706529169
198,0.08000043747029795,0.08,0.1,0.07997639621143819,0.08338208445035751
199,0.08931378062012219,0.09,0.1,0.08927419912923834,0.09355687642152623
200,0.1010607322400272,0.1,0.1,0.10095624284248735,0.10653980212065332
201,0.19924981634669303,0.2,0.1,0.1989897775843363,0.22220626114127923
202,0.3005284617650269,0.30000000000000004,0.1,0.2995243064923722,0.35743017443211106
203,0.3994807841157938,0.4,0.1,0.39813298574526707,0.5099606381669107
204,0.49926689722850137,0.5,0.1,0.49758887840588,0.6916820488467864
205,0.6014886058638488,0.6000000000000001,0.1,0.598590649071769,0.9200191885981395
206,0.7005668065419575,0.7000000000000001,0.1,0.6972446549423861,1.2058639465485275
207,0.7987703397558732,0.8,0.1,0.7937431947602358,1.603308434901018
208,0.8990372702352973,0.9,0.1,0.8940786680233694,2.2930038424733112
209,0.0,0.0,0.2,0.0,0.0
210,0.010558498803841965,0.01,0.2,0.010556065177754396,0.010614635246360384
211,0.020143294554645474,0.02,0.2,0.02013216643317333,0.020348936941861507
212,0.02873358709386975,0.03,0.2,0.02872986432629871,0.029154478698011594
213,0.04060689708410603,0.04,0.2,0.04058865302616204,0.041454378895721906
214,0.05100222090037454,0.05,0.2,0.05095215188139659,0.05234882062824
215,0.059640586384897776,0.06,0.2,0.059558941276914,0.061493121887415216
216,0.06985838486928353,0.07,0.2,0.06977295333532543,0.07241843009329124
217,0.08035795770812126,0.08,0.2,0.08022491633412666,0.08377076911740063
218,0.0921827437143008,0.09,0.2,0.0920321274349713,0.0967121802335218
219,0.09975030914925442,0.1,0.2,0.09957884919262355,0.10508311985699303
220,0.2002066020131743,0.2,0.2,0.19942311232911342,0.2234018371836012
221,0.30017840481259805,0.30000000000000004,0.2,0.29828732486527726,0.35692984044008275
222,0.40067377721474706,0.4,0.2,0.3975667168132457,0.5119492167848562
223,0.5013593447396989,0.5,0.2,0.49661464345812417,0.6958695723874649
224,0.5990849658231786,0.6000000000000001,0.2,0.5928375334730398,0.9140057589721652
225,0.7008743681643748,0.7000000000000001,0.2,0.6925581137802448,1.2068916204762645
226,0.8007981801813141,0.8,0.2,0.7903421601698358,1.6134367982373954
227,0.8997981141912975,0.9,0.2,0.8877867072408796,2.300568270062342
228,0.0,0.0,0.30000000000000004,0.0,0.0
229,0.010510176438526031,0.01,0.30000000000000004,0.01050641249497875,0.010565798417390148
230,0.02024950904279177,0.02,0.30000000000000004,0.02023423674474267,0.020457340797945856
231,0.03078974654946387,0.03,0.30000000000000004,0.03075301884189678,0.031273710802973816
232,0.03980518341739703,0.04,0.30000000000000004,0.03974457179394605,0.0406190811683504
233,0.04912173878543602,0.05,0.30000000000000004,0.04906567848174733,0.050369235972050314
234,0.06023174705570222,0.06,0.30000000000000004,0.060121695414307515,0.062121973534886236
235,0.06986113751322742,0.07,0.30000000000000004,0.06971408656914661,0.07242138947923012
236,0.08047789448203257,0.08,0.30000000000000004,0.08027841325363533,0.08390119442416204
237,0.08791928668511029,0.09,0.30000000000000004,0.08770808996054463,0.09202679138206217
238,0.10073608746172391,0.1,0.30000000000000004,0.10039304701504567,0.10617872525749644
239,0.19997465340061116,0.2,0.30000000000000004,0.19873873987492016,0.22311186856687723
240,0.30151604644293206,0.30000000000000004,0.30000000000000004,0.2988963456971854,0.35884307326615145
241,0.40160646919539666,0.4,0.30000000000000004,0.3970113930053981,0.5135066632014912
242,0.4970541898051094,0.5,0.30000000000000004,0.49028816431261085,0.6872728478969902
243,0.602837389550246,0.6000000000000001,0.30000000000000004,0.5934126045983198,0.9234094840471418
244,0.6999026732506707,0.7000000000000001,0.30000000000000004,0.6869917841492902,1.203648434441771
245,0.8007396538094531,0.8,0.30000000000000004,0.7851342859665884,1.613143036985892
246,0.8995694573155978,0.9,0.30000000000000004,0.881711238761133,2.2982889079829834
247,0.0,0.0,0.4,0.0,0.0
248,0.009703930232041635,0.01,0.4,0.009700261073276246,0.009751320191465563
